youtube_url,title,available,date_added,last_seen,seen_days,upload_date,duration,channel
https://www.youtube.com/watch?v=HhEScr7Z3IQ,サラマンダー (TAKU INOUE 3-Minutes Remix),1,2026-01-02,2026-01-05,4,2022-09-08,180,DECO*27
https://www.youtube.com/watch?v=_iNTHDSRQvM,マーシャル・マキシマイザー,1,2026-01-02,2026-01-05,4,2023-05-11,164,Release - Topic
https://www.youtube.com/watch?v=6Z7W5SJOz08,臙脂,1,2026-01-02,2026-01-05,4,2025-07-04,160,bk - Topic
https://www.youtube.com/watch?v=MTXs3LIAE24,ラビットホール,1,2026-01-02,2026-01-05,4,2023-05-19,159,DECO*27
https://www.youtube.com/watch?v=2hmJpKvHGw4,Akage (赤毛),1,2026-01-02,2026-01-05,4,2025-06-18,138,Smilybruh
https://www.youtube.com/watch?v=2XBc95k0PXQ,iyowa ft. KAFU -Kyu-Kurarin(yuigot Remix),1,2026-01-02,2026-01-05,4,2022-10-07,191,yuigot
https://www.youtube.com/watch?v=b_cuMcDWwsI,wowaka 『裏表ラバーズ』feat. 初音ミク / wowaka - Ura-Omote Lovers (Official Video) ft. Hatsune Miku,1,2026-01-02,2026-01-05,4,2017-09-05,189,ヒトリエ / wowaka
https://www.youtube.com/watch?v=UQ1X6YkFzj8,えれくとりっく・えんじぇぅ - cover,1,2026-01-02,2026-01-05,4,2024-11-18,183,やゃ
https://www.youtube.com/watch?v=hcNczIq2C6c,ハウトゥー世界征服,1,2026-01-02,2026-01-05,3,2024-09-22,215,Neru OFFICIAL
https://www.youtube.com/watch?v=1PObCzBxWt0,炉心融解 (feat. 鏡音リン),1,2026-01-02,2026-01-05,3,2020-04-03,329,iroha(sasaki)
https://www.youtube.com/watch?v=tzAgvnABZzo,弱虫モンブラン (Reloaded),1,2026-01-03,2026-01-05,3,2025-04-15,213,DECO*27
https://www.youtube.com/watch?v=tHPqJvV8RSs,potatoになっていく,1,2026-01-03,2026-01-05,3,2025-09-02,189,neru - Topic
https://www.youtube.com/watch?v=4n94ukt15qg,Tell Your World,1,2026-01-04,2026-01-05,2,2018-09-04,255,kz-livetune
https://www.youtube.com/watch?v=L13gCEZJVRU,Orangestar - Henceforth (feat. IA) Official Video,1,2026-01-04,2026-01-05,2,2020-05-21,236,Orangestar
https://www.youtube.com/watch?v=lvuHvXsZPrk,Rivers In the Desert,1,2026-01-04,2026-01-05,2,2018-10-16,315,Lyn - Topic
https://www.youtube.com/watch?v=I0eeS5wYGzI,愛言葉,1,2026-01-04,2026-01-05,2,2018-11-14,264,DECO*27
https://www.youtube.com/watch?v=wvlUWjqGQSA,Orangestar - 霽れを待つ (feat. 初音ミク) Official Video,1,2026-01-04,2026-01-05,2,2021-01-10,252,Orangestar
https://www.youtube.com/watch?v=2KuWjZD6PBA,It's Going Down Now,1,2026-01-04,2026-01-05,2,2024-04-23,186,Azumi Takahashi - Topic
https://www.youtube.com/watch?v=t0PtXau1vjg,【初音ミク】君の体温 / Kimino Taion - Your Warmth  by クワガタP KuwagataP【Hatsune Miku】,1,2026-01-04,2026-01-05,2,2025-11-17,240,kuwagataP
https://www.youtube.com/watch?v=t9TdQCdtUeo,Changing Seasons -Reload-,1,2026-01-04,2026-01-05,2,2024-04-23,195,Azumi Takahashi - Topic
https://www.youtube.com/watch?v=Q6q6pDC6Mas,Mass Destruction -Reload-,1,2026-01-04,2026-01-05,2,2024-04-23,185,Lotus Juice - Topic
https://www.youtube.com/watch?v=WYHfCZ9NV2I,白南風,1,2026-01-04,2026-01-05,2,2023-08-29,191,Orangestar
https://www.youtube.com/watch?v=Soy4jGPHr3g,Tetoris / Kasane Teto,1,2026-01-04,2026-01-05,2,2024-11-08,143,Hiiragi Magnetite
https://www.youtube.com/watch?v=IK3Z0RIIvY8,モザイクロール (feat. GUMI),1,2026-01-05,2026-01-05,1,2018-11-14,182,DECO*27
https://www.youtube.com/watch?v=b31SNbUxVTU,リモコン-NT ver.- (feat. 鏡音リン&鏡音レン),1,2026-01-05,2026-01-05,1,2025-12-25,314,WONDERFUL★OPPORTUNITY!
https://www.youtube.com/watch?v=6b_z2jrMbkU,GETCHA!,1,2026-01-05,2026-01-05,1,2023-09-02,233,Release - Topic
https://www.youtube.com/watch?v=9oDr0PG20sE,Lost One's Weeping (2015 Depressed ver.),1,2026-01-05,2026-01-05,1,2025-12-23,208,Neru OFFICIAL
https://www.youtube.com/watch?v=j8qFrOohvWg,フューチャー・イヴ (feat. Hatsune Miku),1,2026-01-05,2026-01-05,1,2022-07-19,217,sasakure. UK
https://www.youtube.com/watch?v=114yuwqcQhM,インドア系ならトラックメイカー,1,2026-01-05,2026-01-05,1,2018-10-07,196,Yunomi
https://www.youtube.com/watch?v=5lb765EUJwI,バグ (BUG EFFECT Ver.),1,2026-01-05,2026-01-05,1,2025-12-02,170,かいりきベア／Kairiki bear
https://www.youtube.com/watch?v=tr0fW92PIc8,メンタルチェンソー,1,2026-01-05,2026-01-05,1,2025-12-02,179,かいりきベア／Kairiki bear
https://www.youtube.com/watch?v=AqMVIqCicIo,酔いどれ知らず,1,2026-01-05,2026-01-05,1,2022-05-06,135,Kanaria
https://www.youtube.com/watch?v=J2TWTrhq9oA,ルマ,1,2026-01-05,2026-01-05,1,2021-10-09,187,かいりきベア／Kairiki bear
https://www.youtube.com/watch?v=JqO33QER3LI,少女A,1,2026-01-05,2026-01-05,1,2018-11-14,221,siinamota - Topic
https://www.youtube.com/watch?v=fHre5cVcKeM,しう,1,2026-01-05,2026-01-05,1,2019-11-24,279,MARETU
